symbol,entry_price,entry_time,exit_price,exit_time,quantity,position_size,pnl_value,pnl_percent,hold_days,exit_reason,partial
DOGEUSDT,0.33143,2025-01-02 00:00:00,0.31683,2025-01-09 16:00:00,1206.8913496062517,400.0,-17.620613704251276,-4.405153426062819,7,"STOP_LOSS (Day 7, -3%)",False
SHIBUSDT,1.333e-05,2025-04-23 04:00:00,1.292e-05,2025-04-30 16:00:00,30007501.87546887,400.0,-12.30307576894222,-3.075768942235555,7,"STOP_LOSS (Day 7, -3%)",False
SHIBUSDT,1.291e-05,2025-05-02 12:00:00,1.182e-05,2025-05-06 12:00:00,30983733.539891556,400.0,-33.77226955848179,-8.443067389620447,4,"STOP_LOSS_EARLY (Day 4, -8%)",False
SOLUSDT,138.82,2025-04-19 00:00:00,160.24,2025-05-08 12:00:00,0.7203572972194209,100.0,15.430053306440007,15.430053306440005,19,"TP1 (Day 19, +15%)",True
SOLUSDT,138.82,2025-04-19 00:00:00,166.97,2025-05-13 00:00:00,0.7203572972194209,100.0,20.278057916726702,20.278057916726702,24,"TRAILING_STOP (Day 24, -5% from high)",False
DOGEUSDT,0.17947,2025-05-08 00:00:00,0.23202,2025-05-15 00:00:00,1114.3923775561375,200.0,58.56131944057504,29.28065972028752,7,"TP1 (Day 7, +15%)",True
DOGEUSDT,0.17947,2025-05-08 00:00:00,0.22373,2025-05-15 04:00:00,1114.3923775561375,200.0,49.32300663063467,24.661503315317336,7,"TRAILING_STOP (Day 7, -5% from high)",False
SOLUSDT,166.65,2025-05-18 16:00:00,161.23,2025-05-30 12:00:00,1.2001200120012,200.0,-6.504650465046524,-3.252325232523262,11,"STOP_LOSS (Day 11, -3%)",False
SOLUSDT,155.62,2025-06-09 08:00:00,150.72,2025-06-16 20:00:00,1.2851818532322323,200.0,-6.297391080837945,-3.1486955404189727,7,"STOP_LOSS (Day 7, -3%)",False
DOGEUSDT,0.17303,2025-07-09 12:00:00,0.20327,2025-07-16 12:00:00,1155.8689244639659,200.0,34.95347627579035,17.476738137895172,7,"TP1 (Day 7, +15%)",True
SOLUSDT,150.18,2025-07-03 12:00:00,174.16,2025-07-16 16:00:00,0.6658676255160474,100.0,15.96750565987481,15.967505659874808,13,"TP1 (Day 13, +15%)",True
